year,authors
2025,"HenneckeJ, BassiL, AlbrachtC, AmyntasA, BergmannJ, EisenhauerN, FoxA, HeimboldLHBA, KuyperTW, LangeM, PinheiroAlvesdeSouzaY, RaiA, SolbachMD, MommerL, WeigeltA"
2025,"HernándezCM, vanDaalenSF, LiguoriA, NeubertMG, CaswellH, GribbleKE"
2025,"HuntN, KestensV, RasmussenK, BadettiESHLG, OomenAG, PeijnenburgW, HristozovD, RauscherH"
2025,"KoningN, GorterA, ZonneveldM, vanRooijF, SpruijtP, vanDamL"
2025,"LiL, HoefslootH, BakkerBM, HornerD, RasmussenMA, SmildeAK, AcarE"
2025,"LuccaK, YuenF, WangY, BaumerJ, VisserI, ManyBabies4Consortium"
2025,"MarcossiÍ, FrancescoLS, FonsecaMM, PalliniA, GrootT, DeVisR, JanssenA"
2025,"NoteboomSH, KhoE, GalantyM, SánchezCI, tenBookumFCP, VeeloDP, VlaarAPJ, vanderSterBJP"
2025,"PearlmanAB, ScholzP, BethapudiS, HesselsJWT, KaspiVM, KirstenF, NimmoK, SpitlerLG, FonsecaE, MeyersBW, StairsIH, TanCM, BhardwajM, ChatterjeeS, CookAM, CurtinAP, DongFA, EftekhariT, GaenslerBM, TendulkarSP"
2025,"StempniakIasczczakiR, PalliniA, VenzonM, BeghelliGM, BindadeAssisC, MarcossiI, JanssenA"
2025,"Teodoro-PauloJ, DeereJAVSJ, CharlesworthS, DuncanAB, KantMR, AlbaJM"
2025,"ValkenburgPM, vanderWalA, SiebersT, BeyensI, BoeschotenL, AraujoT"
2025,"VanEckRM, JelsmaA, BlondeelJ, BurgerTJ, VellingaA, deKoningMB, SchirmbeckF, KikkertM, BoyetteLL, deHaanL"
2025,"VermeentS, SchubertAL, DeJosephML, DenissenJJA, vanGelderJL, FrankenhuisWE"
2025,"VosAL, deBruijnGJ, KleinMCA, BoermanSC, StuberJM, SmitEG"
2025,"ZengH, SchagenSB, HendriksLELSBG, JaspersJPM, ManeroRM, LievensYMMM, KuenenMROM, AlbersEAC, SamperP, HoubenR, deRuiterMB, DielemanEMTLGJL, DeJaegerK, CouñagoF, LambrechtM, RodríguezdeDiosN"
2025,"ZhaoZ, TuT, ZhangY, MengR, ShiM, FanL, MerckxVSFT, SaundersRMK, ZhangD"
2025,"deBruinDDSH, HaagmansMA, vanderGaagKJ, HoogenboomJ, WeilerNEC, TesiN, SalazarA, ZhangY, HolstegeH, ReindersM, M'charekAA, SijenT, HennemanP"
2025,"vandeGlindI, MulderR, AkkermanA, vanderBiezenM, BootsmaJ, FinnemaE, HeermavanVossL, MouterN, vanRooijJ, vandeVenG"
2025,"AkkayaEC, SarıE, ŞahinMN, RumeliY, DarıcıE, SayılanG"
2025,"AlbaR, terHorstR, TranBN, KleinA, UnverzagtKGMJ, VerzijlA, RuscaM, VosJ, VenotJP, ZwarteveenM, KruegerT"
2025,"AtabeyA, WilsonC, ManchesA, HinrichsU, BrewsterSA, RamirezAA, PereraD, KaufmannDB, WangG, PlodererB, GoodJ, VinesJ"
2025,"BlassnigS, StrikovicE, MitovaE, UrmanA, HannákA, deVreeseC, EsserF"
2025,"ChenY, JiangY, LiJ, HongX, NiH, WangL, MaN, TongM, KrishnaR, ZhangY"
2025,"CiccarelliD, SamanipourSRWH, BieberS, LetzelT, O’BrienJW, MarczyloT, GantTW, VineisP, BarronLP"
2025,"DePoliC, OyebodeJ, AiroldiM, StevensM, CapstickA, MaysN, ClarkM, DriessenA, RivasC, PenhaleB, FletcherJR, RussellAM"
2025,"DegelerV, HadadianM, KarabulutE, LazovikA, vanhetLooH, TelloA, TruongH"
