Node,degree,betweenness,closeness,eigenvector,pagerank
EnotoT,0.010002000400080016,6.382068397105308e-05,0.2978363759296822,0.00021768155891505942,0.00021768155891505942
ColemanJRI,0.0022004400880176033,6.8068675187519e-06,0.2699969353355808,0.00016647962330306699,0.00016647962330306699
MedinaMacedoL,0.00040008001600320064,0.0,0.212442729684109,6.994169221588215e-05,6.994169221588215e-05
CallinghamJR,0.014002800560112022,0.0009664802737981967,0.2850664075153871,0.00036267704785152954,0.00036267704785152954
DolanCV,0.004000800160032006,0.00026686509654827765,0.2640887290167866,0.0003208228603670096,0.0003208228603670096
ZhouS,0.004800960192038408,0.001035951063600282,0.31417350946090683,0.0003123677510072483,0.0003123677510072483
BarottWC,0.000600120024004801,0.0,0.23875338753387534,5.667610599375422e-05,5.667610599375422e-05
SlootPMA,0.014002800560112022,0.014655073084864027,0.33295497540673474,0.0011368618776119157,0.0011368618776119157
SteinDJ,0.0026005201040208044,0.00022262951365348467,0.26276500447894896,0.00023019478768777633,0.00023019478768777633
DelormeP,0.011002200440088018,1.3165894635643855e-05,0.27652228499686127,0.00027327469618347794,0.00027327469618347794
GarciaJO,0.00020004000800160032,0.0,0.20132692747654998,5.092749843231782e-05,5.092749843231782e-05
SvinkinD,0.0034006801360272057,0.0,0.2581306768239086,9.210714674406914e-05,9.210714674406914e-05
HammarströmH,0.00020004000800160032,0.0,0.2397278911564626,3.844175286410131e-05,3.844175286410131e-05
LehneJ,0.00020004000800160032,0.0,1.0,0.00021664716842138937,0.00021664716842138937
RosenkrantzLindegaardM,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
RotJ,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
VerdonschotRCM,0.0008001600320064013,0.0,0.24553571428571427,9.995222764664448e-05,9.995222764664448e-05
GeurtsHM,0.0072014402880576115,0.0009006988020075141,0.2884300229432973,0.0005243038653549786,0.0005243038653549786
UtensE,0.0014002800560112022,4.366199390146688e-05,0.22735483870967743,0.00015289013946499222,0.00015289013946499222
JönssonK,0.00020004000800160032,0.0,0.2499290780141844,4.230763772664775e-05,4.230763772664775e-05
SamajdarA,0.00040008001600320064,0.0,0.22817922817922817,4.795635583117265e-05,4.795635583117265e-05
BarkhuysenT,0.00020004000800160032,0.0,0.0,0.00021664716842138937,0.00021664716842138937
RissikD,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
HeY,0.00620124024804961,0.00022822605225474534,0.31793576326236017,0.0003209024012529412,0.0003209024012529412
VidalB,0.00040008001600320064,0.0,0.0,0.00021664716842138937,0.00021664716842138937
RoelfsemaR,0.009401880376075216,1.602782910946367e-05,0.27565707133917394,0.00023699409523592578,0.00023699409523592578
WijnkerC,0.00020004000800160032,0.0,0.2033702677746999,5.016925225070955e-05,5.016925225070955e-05
KwonN,0.0,0.0,0.0,3.249707526442832e-05,3.249707526442832e-05
deVriesTJ,0.008001600320064013,0.0033736533133389176,0.30513176144244103,0.0006330303003499289,0.0006330303003499289
