node,degree,strategy,adoption_time,tau,seed_fraction
PandeyS,12,random,1,0.05,0.0025
ValeevaD,10,random,1,0.05,0.0025
VoetelinkJED,13,random,1,0.05,0.0025
ZavodszkyG,10,random,1,0.05,0.0025
GuptaV,15,random,1,0.05,0.0025
DuguayS,11,random,1,0.05,0.0025
EmsleyI,11,random,1,0.05,0.0025
DietzelC,11,random,1,0.05,0.0025
ParryDC,11,random,1,0.05,0.0025
JohnsonCW,11,random,1,0.05,0.0025
vanBovenJFM,15,random,1,0.05,0.0025
CassemiroFAS,20,random,1,0.05,0.0025
LaceulleOM,8,random,1,0.05,0.0025
MeijerL,9,random,1,0.05,0.0025
KarremanA,4,random,1,0.05,0.0025
KumarAEFRAJ,15,random,1,0.05,0.0025
RorAK,15,random,1,0.05,0.0025
StylianouN,15,random,1,0.05,0.0025
ZhuM,25,random,1,0.05,0.0025
XiongC,6,random,1,0.05,0.0025
JiH,9,random,1,0.05,0.0025
WilliamsGC,8,random,1,0.05,0.0025
SchreudersL,8,random,1,0.05,0.0025
PuriA,16,random,1,0.05,0.0025
YakovlevaS,20,random,1,0.05,0.0025
FlerlageH,9,random,1,0.05,0.0025
GómezAbelleiraFJ,32,random,1,0.05,0.0025
MuñozRuizAB,35,random,1,0.05,0.0025
XiaoW,16,random,1,0.05,0.0025
SijmJ,9,random,1,0.05,0.0025
PonomarevaAA,19,random,1,0.05,0.0025
JarvisMJ,47,random,1,0.05,0.0025
RajohnsonSHA,19,random,1,0.05,0.0025
KurapatiS,19,random,1,0.05,0.0025
SpekkensK,19,random,1,0.05,0.0025
TudoracheM,19,random,1,0.05,0.0025
CollierJD,19,random,1,0.05,0.0025
SekharS,19,random,1,0.05,0.0025
HelmerhorstKOW,20,random,1,0.05,0.0025
XiaoX,17,random,1,0.05,0.0025
FiguièreR,4,random,1,0.05,0.0025
DijkJM,16,random,1,0.05,0.0025
LemstraAW,7,random,1,0.05,0.0025
PoorthuisAMG,19,random,1,0.05,0.0025
AlexandrovI,19,random,1,0.05,0.0025
AlexandrovE,19,random,1,0.05,0.0025
BaranowskiZ,19,random,1,0.05,0.0025
DimitrovG,19,random,1,0.05,0.0025
FernándezCasaniA,19,random,1,0.05,0.0025
GarcíaMontoroC,19,random,1,0.05,0.0025
GonzálezdelaHozS,19,random,1,0.05,0.0025
HřivnáčJ,19,random,1,0.05,0.0025
IakovlevA,19,random,1,0.05,0.0025
KazymovA,19,random,1,0.05,0.0025
MineevM,19,random,1,0.05,0.0025
YuanR,19,random,1,0.05,0.0025
GibbonsD,19,random,1,0.05,0.0025
VillandierN,12,random,1,0.05,0.0025
MaiaS,15,random,1,0.05,0.0025
LinnerundS,4,random,1,0.05,0.0025
KoolsS,3,random,1,0.05,0.0025
ZenatiY,13,random,1,0.05,0.0025
ArifovicJ,7,random,1,0.05,0.0025
vanderLeijMJ,16,random,1,0.05,0.0025
YiuTWH,19,random,1,0.05,0.0025
BlootS,19,random,1,0.05,0.0025
LamyL,19,random,1,0.05,0.0025
